Symbol	Name	Change	% Change	Price (Intraday)	50 Day Average	200 Day Average	3-Mo Return	YTD Return	52 Week Range
0P0000XW5K.BO	Franklin India Equity Direct Dividend Payout	+0.55	+0.99%	55.41	53.26	54.31	13.34%	-1.81%	
0P00005VDE.BO	Franklin India Equity Fund Growth	+10.53	+0.99%	1,068.35	1,027.78	1,002.55	13.09%	5.50%	
0P0001BA5W.BO	Franklin India Equity Fund Dividend Reinvestment	+0.49	+0.99%	49.28	47.41	48.11	13.09%	-1.06%	
0P0001BA5V.BO	Franklin India Equity Direct Dividend Reinvestment	+0.55	+0.99%	55.41	53.26	54.31	13.34%	-1.81%	
0P0000NNEZ.BO	HDFC Standard Life - Growth Fund Investment Life	+3.63	+1.13%	320.84	308.92	300.92	12.48%	6.11%	
0P00005UPR.BO	Nippon India Liquid Fund Weekly Dividend Reinvestment	-1.54	-0.10%	1,531.84	1,531.09	1,531.16	1.76%	3.36%	
0P0001BB44.BO	Nippon India Liquid Fund Retail Quarterly Dividend Reinvestment	+0.22	+0.02%	1,216.61	1,225.40	1,222.70	1.61%	3.06%	
0P0001BB41.BO	Nippon India Liquid Fund Monthly Dividend Reinvestment	+0.31	+0.02%	1,584.66	1,588.50	1,588.34	1.76%	3.36%	
0P00005UPW.BO	Nippon India Liquid Fund Retail Quarterly Dividend Payout	+0.22	+0.02%	1,216.61	1,225.40	1,222.70	1.61%	3.06%	
0P00005UPS.BO	Nippon India Liquid Fund Retail Daily Dividend Reinvestment	0.00	0.00%	1,524.28	1,524.31	1,524.32	1.59%	3.03%	
0P0001BB3Z.BO	Nippon India Liquid Fund Direct Plan Monthly Dividend Reinvestment Option	+0.32	+0.02%	1,587.98	1,591.91	1,591.74	1.80%	3.43%	
0P0001BB40.BO	Nippon India Liquid Fund Direct Plan Quarterly Dividend Reinvestment Option	+0.20	+0.02%	1,006.69	1,014.72	1,012.31	1.80%	3.43%	
0P00005UPV.BO	Nippon India Liquid Fund Retail Weekly Dividend Reinvestment	-0.93	-0.09%	1,035.10	1,034.67	1,034.70	1.60%	3.05%	
0P0000XVES.BO	Nippon India Liquid Fund Direct Plan Weekly Dividend Reinvestment Option	-1.57	-0.10%	1,531.87	1,531.11	1,531.17	1.80%	3.43%	
0P0000X76G.BO	Nippon India Liquid Fund Quarterly Dividend Payout	+0.20	+0.02%	1,004.91	1,012.81	1,010.41	1.76%	3.36%	
0P00005UPO.BO	Nippon India Liquid Fund Daily Dividend Reinvestment	0.00	0.00%	1,528.74	1,528.78	1,528.79	1.74%	3.34%	
0P0000XVER.BO	Nippon India Liquid Fund Direct Plan Growth Plan	+1.11	+0.02%	5,601.00	5,576.86	5,496.47	1.80%	3.43%	
0P0000XVEQ.BO	Nippon India Liquid Fund Direct Plan Monthly Dividend Payout Option	+0.32	+0.02%	1,587.98	1,591.91	1,591.74	1.80%	3.43%	
0P00005UPQ.BO	Nippon India Liquid Fund Monthly Dividend Payout	+0.31	+0.02%	1,584.66	1,588.50	1,588.34	1.76%	3.36%	
0P00005UPP.BO	Nippon India Liquid Fund Growth	+1.08	+0.02%	5,544.45	5,521.05	5,443.04	1.76%	3.36%	
0P0000XVEO.BO	Nippon India Liquid Fund Direct Plan Daily Dividend Reinvestment Option	0.00	0.00%	1,528.74	1,528.78	1,528.79	1.77%	3.41%	
0P0000XVET.BO	Nippon India Liquid Fund Direct Plan Quarterly Dividend Payout Option	+0.20	+0.02%	1,006.69	1,014.72	1,012.31	1.80%	3.43%	
0P0001BB5S.BO	Nippon India Large Cap Fund Direct Plan Dividend Reinvestment Option	+0.34	+1.10%	31.31	29.99	29.55	15.95%	10.64%	
0P00009JAP.BO	Nippon India Large Cap Fund Dividend Payout	+0.24	+1.09%	21.58	20.68	20.76	15.72%	9.84%	
0P0000XVG3.BO	Nippon India Large Cap Fund - Direct Plan - Bonus Plan	+0.73	+1.10%	66.82	64.00	60.76	15.95%	10.99%	
0P00009JAO.BO	Nippon India Large Cap Fund - Bonus	+0.67	+1.09%	60.98	58.45	55.63	15.72%	10.55%	
0P00009JAQ.BO	Nippon India Large Cap Fund - Growth	+0.67	+1.09%	60.98	58.45	55.63	15.72%	10.55%	
0P0001BB5T.BO	Nippon India Large Cap Fund Dividend Reinvestment	+0.24	+1.09%	21.58	20.68	20.76	15.72%	9.84%	
0P0000XVG6.BO	Nippon India Large Cap Fund - Direct Plan - Growth Plan	+0.73	+1.10%	66.82	64.07	60.79	15.95%	10.99%	
0P0000XVEL.BO	Nippon India Focused Equity Fund - Direct Plan - Growth Option	+0.64	+0.69%	92.36	89.51	87.73	13.42%	5.04%	
0P00008TO5.BO	Nippon India Focused Equity Fund - Growth	+0.58	+0.69%	85.14	82.50	81.10	13.23%	4.69%	
0P0000XVEI.BO	Nippon India Focused Equity Fund Direct Plan Dividend Payout Option	+0.26	+0.69%	38.40	37.21	38.21	13.42%	4.49%	
0P00008TGU.BO	Nippon India Focused Equity Fund Dividend Payout	+0.20	+0.69%	28.99	28.09	29.36	13.23%	3.81%	
0P0001BB4K.BO	Nippon India Focused Equity Fund Dividend Reinvestment	+0.20	+0.69%	28.99	28.09	29.36	13.23%	3.81%	
0P0001BB4J.BO	Nippon India Focused Equity Fund Direct Plan Dividend Reinvestment Option	+0.26	+0.69%	38.40	37.21	38.21	13.42%	4.49%	
0P0001ECG6.BO	Tata Multicap Fund Direct Dividend Reinvestment	+0.10	+0.57%	18.22	17.39	16.86	15.95%	8.03%	
0P0001ECG5.BO	Tata Multicap Fund Direct Dividend Payout	+0.10	+0.57%	18.22	17.39	16.86	15.95%	8.03%	
0P0001ECG9.BO	Tata Multicap Fund Regular Dividend Payout	+0.09	+0.56%	16.85	16.08	15.67	15.60%	7.34%	
0P0001ECGA.BO	Tata Multicap Fund Regular Dividend Reinvestment	+0.09	+0.56%	16.85	16.08	15.67	15.60%	7.34%	
0P0001ECGC.BO	Tata Multicap Fund Regular Growth	+0.09	+0.56%	16.85	16.09	15.67	15.60%	7.34%	
0P0001ECGB.BO	Tata Multicap Fund Regular Dividend Sweep	+0.09	+0.56%	16.85	16.08	15.67	15.60%	7.34%	
0P0001ECG7.BO	Tata Multicap Fund Direct Dividend Sweep	+0.10	+0.57%	18.22	17.39	16.86	15.95%	8.03%	
0P0001ECG8.BO	Tata Multicap Fund Direct Growth	+0.10	+0.57%	18.22	17.37	16.86	15.95%	8.03%	
0P0000XVDD.BO	Nippon India Multi Cap Fund - Direct Plan - Bonus	+2.03	+1.00%	203.12	192.12	181.37	18.97%	13.59%	
0P0001BB2K.BO	Nippon India Multi Cap Fund Dividend Reinvestment	+0.47	+0.99%	47.27	44.74	44.75	18.76%	12.20%	
0P00005WDS.BO	Nippon India Multi Cap Fund - Growth	+1.87	+0.99%	188.16	178.08	168.48	18.76%	13.19%	
0P00005WDR.BO	Nippon India Multi Cap Fund Dividend Payout	+0.47	+0.99%	47.27	44.74	44.75	18.76%	12.20%	
0P0000XVDK.BO	Nippon India Multi Cap Fund Direct Plan Dividend Payout Option	+0.65	+1.00%	65.25	61.72	60.68	18.97%	13.01%	
0P0001BB2J.BO	Nippon India Multi Cap Fund Direct Plan Dividend Reinvestment	+0.65	+1.00%	65.25	61.72	60.68	18.97%	13.01%	
0P0000XVDF.BO	Nippon India Multi Cap Fund - Direct Plan - Growth	+2.03	+1.00%	203.12	192.12	181.37	18.97%	13.59%	
0P00005WDQ.BO	Nippon India Multi Cap Fund Bonus	+1.87	+0.99%	188.16	178.08	168.48	18.76%	13.19%	
0P0000SELA.BO	Canara HSBC Oriental Bank of Commerce Life - Unit Linked Balanced Plus Fund	+0.14	+0.52%	26.24	25.77	25.12	7.34%	4.52%	
0P0001BADW.BO	ICICI Prudential Infrastructure Fund Dividend Reinvestment	+0.15	+0.73%	20.50	19.67	19.00	13.64%	11.84%	
0P0000XUY4.BO	ICICI Prudential Infrastructure Fund Direct Plan Dividend Payout	+0.23	+0.74%	30.90	29.63	28.27	13.77%	12.16%	
0P00005UN4.BO	ICICI Prudential Infrastructure Fund Growth	+0.82	+0.73%	112.54	107.98	100.92	13.62%	11.84%	
0P00005UN1.BO	ICICI Prudential Infrastructure Fund Dividend Payout	+0.15	+0.73%	20.50	19.67	19.00	13.64%	11.84%	
0P0001BADV.BO	ICICI Prudential Infrastructure Fund Direct Plan Dividend Reinvestment	+0.23	+0.74%	30.90	29.63	28.27	13.77%	12.16%	
0P0000NPCJ.BO	LIC of India - Profit Plus Growth	+0.22	+0.77%	28.20	27.48	26.54	9.00%	6.89%	
0P0001AO80.BO	ICICI Pru Life-Active Asset Alloc Bal	+0.07	+0.45%	15.97	15.62	15.18	8.23%	5.34%	
0P0000NQ9N.BO	Bajaj Allianz Life - Equity Index Fund II	+0.67	+1.11%	60.64	58.66	57.07	11.94%	5.99%	
0P0000XVTI.BO	UTI Master Share-Direct Income Payout	+0.51	+1.01%	50.14	48.16	47.49	13.05%	5.72%	
0P00005UZE.BO	UTI Mastershare Unit Regular Plan Dividend Payout	+0.44	+1.00%	43.65	41.96	41.52	12.81%	5.27%	
0P0000XVTC.BO	UTI Master Share-Growth Option - Direct	+2.22	+1.01%	220.52	211.82	207.91	13.05%	5.72%	
0P0001BBIE.BO	UTI Master Share-Direct Income Reinvestment	+0.51	+1.01%	50.14	48.16	47.49	13.05%	5.72%	
0P0001J08L.BO	HSBC Ultra Short Duration Fund IDCW Daily	0.00	0.00%	1,031.73	1,031.73	1,031.72	1.91%	3.46%	
0P0001J08N.BO	HSBC Ultra Short Duration Fund IDCW Monthly Reinvestment	+0.41	+0.04%	1,027.32	1,030.28	1,029.98	1.31%	2.85%	
0P0001J08E.BO	HSBC Ultra Short Duration Fund Growth Direct	+0.49	+0.04%	1,184.83	1,177.22	1,151.16	1.98%	3.60%	
0P0001J08G.BO	HSBC Ultra Short Duration Fund Direct Daily Reinvestment of Income Distribution cum Cptl Wdrl Opt	0.00	0.00%	1,079.94	1,079.94	1,079.94	1.98%	3.59%	
0P0001J08F.BO	HSBC Ultra Short Duration Fund IDCW Monthly	+0.42	+0.04%	1,011.73	1,014.75	1,014.45	1.36%	2.96%	
0P0001J08K.BO	HSBC Ultra Short Duration Fund Regular Monthly Payout of Income Distribution cum Cptl Wdrl Opt	+0.41	+0.04%	1,027.32	1,030.28	1,029.98	1.31%	2.85%	
0P0001J08J.BO	HSBC Ultra Short Duration Fund Growth	+0.47	+0.04%	1,174.39	1,167.12	1,142.20	1.92%	3.47%	
0P0001J08M.BO	HSBC Ultra Short Duration Fund IDCW Weekly	+0.42	+0.04%	1,041.58	1,042.07	1,042.05	1.56%	3.20%	
0P0001J08I.BO	HSBC Ultra Short Duration Fund Direct Monthly Reinvestment of Income Distribution cum Cptl Wdrl Opt	+0.42	+0.04%	1,011.73	1,014.75	1,014.45	1.36%	2.96%	
0P0000XVG1.BO	Nippon India Tax Saver (ELSS) Fund Direct Plan Dividend Payout Option	+0.22	+0.63%	35.68	33.98	33.70	14.77%	6.04%	
0P00015E14.BO	Nippon India Tax Saver (ELSS) Fund Direct Plan Annual Dividend Payout Option	+0.11	+0.63%	17.85	17.01	16.61	14.77%	6.13%	
0P0000XVG0.BO	Nippon India Tax Saver (ELSS) Fund - Direct Plan - Growth Option	+0.58	+0.63%	93.22	88.78	86.75	14.77%	6.13%	
0P00005UQM.BO	Nippon India Tax Saver (ELSS) Fund - Growth	+0.54	+0.62%	86.12	82.12	80.35	14.57%	5.79%	
0P00005UQK.BO	Nippon India Tax Saver (ELSS) Fund Dividend Payout	+0.17	+0.62%	27.73	26.45	26.37	14.57%	5.65%	
0P0001BB5R.BO	Nippon India Tax Saver (ELSS) Fund Dividend Reinvestment	+0.17	+0.62%	27.73	26.45	26.37	14.57%	5.65%	
0P0001BB5Q.BO	Nippon India Tax Saver (ELSS) Fund Direct Plan Dividend Reinvestment	+0.22	+0.63%	35.68	33.98	33.70	14.77%	6.04%	
0P00015E15.BO	Nippon India Tax Saver (ELSS) Fund Annual Dividend Payout Option	+0.10	+0.62%	16.83	16.05	15.70	14.57%	5.79%	
0P0000NQJT.BO	Tata AIA Life - Life Large Cap Equity Fund	+0.44	+0.88%	50.23	48.25	46.99	12.42%	6.63%	
0P0000TD1O.BO	Bajaj Allianz Life - Group Secure Gain	+0.03	+0.06%	50.41	50.01	48.64	4.06%	4.37%	
0P0000NQW3.BO	ICICI Prudential Life - Bluechip Fund	+0.40	+1.13%	35.48	34.28	33.31	12.61%	5.89%	
0P0001BBBT.BO	Sundaram Mid Cap Dividend Reinvestment	+0.33	+0.69%	47.08	44.47	43.89	17.44%	9.84%	
0P00005UUI.BO	Sundaram Mid Cap Dividend Payout	+0.33	+0.69%	47.08	44.47	43.89	17.44%	9.84%	
0P0000XVNP.BO	Sundaram Mid Cap - Direct Plan - Growth Option	+6.14	+0.70%	877.93	828.08	799.78	17.69%	10.29%	
0P0001BBMP.BO	Sundaram Mid Cap Dividend Sweep	+0.33	+0.69%	47.08	44.47	43.89	17.44%	9.84%	
0P0001BBMO.BO	Sundaram Mid Cap Direct Plan Dividend Sweep Option	+0.36	+0.70%	51.25	48.34	47.63	17.69%	10.29%	
0P00005UUJ.BO	Sundaram Mid Cap Growth	+5.68	+0.69%	817.98	772.61	747.65	17.44%	9.84%	
0P0001BBBS.BO	Sundaram Mid Cap Direct Plan Dividend Reinvestment Option	+0.36	+0.70%	51.25	48.34	47.63	17.69%	10.29%	
0P0000NPB1.BO	Kotak Mahindra Old Mutual Life - Kotak Group Bond Fund	-0.07	-0.15%	48.47	48.30	47.01	2.52%	3.95%	
0P0000NQXG.BO	ICICI Prudential Life - Multi Cap Balanced Fund	+0.16	+0.49%	32.85	31.96	31.15	9.62%	5.45%	
0P0000A3O2.BO	Franklin Asian Equity Fund Growth	-0.21	-0.82%	25.63	25.33	24.89	1.63%	2.68%	
0P0000XW53.BO	Franklin Asian Equity Fund - Direct - Growth	-0.22	-0.81%	27.51	27.16	26.61	1.92%	3.17%	
0P0000A33Q.BO	Franklin Asian Equity Fund Dividend Payout	-0.10	-0.82%	12.46	12.31	12.22	1.63%	2.68%	
0P0000XW52.BO	Franklin Asian Equity Fund Direct Dividend Payout	-0.11	-0.81%	13.27	13.10	13.06	1.92%	3.17%	
0P0001BA40.BO	Franklin Asian Equity Fund Dividend Reinvestment	-0.10	-0.82%	12.46	12.31	12.22	1.63%	2.68%	
0P0001BA3Z.BO	Franklin Asian Equity Fund Direct Dividend Reinvestment	-0.11	-0.81%	13.27	13.10	13.06	1.92%	3.17%	
0P0000XW7U.BO	HDFC Index Fund Sensex Plan-Direct Plan	+7.50	+1.26%	593.83	576.20	559.88	11.55%	5.75%	
0P0001IESO.BO	Franklin India Liquid Unclaimed Dividend Investor Education Plan Growth	0.00	0.00%	10.00	10.00	10.00	0.00%	0.00%	
0P00005UXO.BO	Franklin India Liquid-Super Institutional Plan Weekly Dividend Payout	+0.18	+0.02%	1,022.86	1,022.63	1,022.47	1.74%	3.36%	
0P00005UXH.BO	Franklin India Liquid Daily Dividend Reinvestment	0.00	0.00%	1,509.32	1,509.32	1,509.47	1.55%	3.00%	
0P0001IESO.BO	Franklin India Liquid Unclaimed Dividend Investor Education Plan Growth	0.00	0.00%	10.00	10.00	10.00	0.00%	0.00%	
0P00005UXL.BO	Franklin India Liquid Institutional Weekly Dividend Payout	+0.18	+0.02%	1,055.38	1,055.16	1,055.16	1.65%	3.17%	
0P0000XVRL.BO	Franklin India Liquid - Super Institutional - Direct - Growth	+0.63	+0.02%	3,438.89	3,424.17	3,375.85	1.76%	3.38%	
0P0000XVRM.BO	Franklin India Liquid Super Institutional Direct Weekly Dividend Payout	+0.18	+0.02%	1,022.08	1,021.85	1,021.84	1.76%	3.39%	
0P0001BA6F.BO	Franklin India Liquid-Super Institutional Plan Weekly Dividend Reinvestment	+0.18	+0.02%	1,022.86	1,022.63	1,022.47	1.74%	3.36%	
0P00005UXI.BO	Franklin India Liquid Growth	+0.85	+0.02%	5,206.19	5,186.38	5,120.92	1.57%	3.01%	
0P0001BA6D.BO	Franklin India Liquid Institutional Weekly Dividend Reinvestment	+0.18	+0.02%	1,055.38	1,055.16	1,055.16	1.65%	3.17%	
0P0001I2M8.BO	Franklin India Liquid Unclaimed Redemption Plan Growth	+0.00	+0.02%	14.52	14.44	14.20	1.76%	3.39%	
0P0001BA6G.BO	Franklin India Liquid Weekly Dividend Reinvestment	+0.20	+0.02%	1,245.04	1,244.80	1,244.79	1.57%	3.02%	
0P00005UXM.BO	Franklin India Liquid-Super Institutional Plan Daily Dividend Reinvestment	0.00	0.00%	1,000.00	1,000.00	1,000.00	1.72%	3.33%	
0P00005UXP.BO	Franklin India Liquid Weekly Dividend Payout	+0.20	+0.02%	1,245.04	1,244.80	1,244.79	1.57%	3.02%	
0P0001IESN.BO	Franklin India Liquid Unclaimed Redemption Investor Education Plan Growth	0.00	0.00%	10.00	10.00	10.00	0.00%	0.00%	
0P0000XVRK.BO	Franklin India Liquid Super Institutional Direct Daily Dividend Reinvestment	0.00	0.00%	1,001.60	1,001.60	1,001.68	1.74%	3.36%	
0P0001BA6E.BO	Franklin India Liquid Super Institutional Direct Weekly Dividend Reinvestment	+0.18	+0.02%	1,022.08	1,021.85	1,021.84	1.76%	3.39%	
0P0001I2M7.BO	Franklin India Liquid Unclaimed Dividend Plan Growth	+0.00	+0.02%	14.52	14.44	14.20	1.76%	3.39%	
0P00005UXJ.BO	Franklin India Liquid Institutional Daily Dividend Reinvestment	0.00	0.00%	1,000.00	1,000.00	1,000.00	1.62%	3.12%	
0P0000XX0C.BO	HDFC Standard Life - Pension Super Plus Fund 2012	+0.16	+0.67%	23.46	23.03	22.51	7.79%	4.37%	
0P0000S4MT.BO	LIC of India - Endowment Plus Growth	+0.34	+1.02%	33.54	32.44	31.25	10.72%	8.57%	
0P00005WIX.BO	Templeton India Equity Income Fund Growth	+0.75	+0.81%	92.48	90.80	87.39	6.94%	7.71%	
0P0001BBF2.BO	Templeton India Equity Income Fund Dividend Reinvestment	+0.17	+0.81%	20.47	20.10	19.99	2.52%	3.26%	
0P00005WIW.BO	Templeton India Equity Income Fund Dividend Payout	+0.17	+0.81%	20.47	20.10	19.99	2.52%	3.26%	
0P0001BBF1.BO	Templeton India Equity Income Fund Direct Dividend Reinvestment	+0.19	+0.82%	22.72	22.29	22.08	2.95%	3.89%	
0P0000XVQS.BO	Templeton India Equity Income Fund - Direct - Growth	+0.81	+0.82%	99.49	97.61	93.69	7.20%	8.19%	
0P0000XVQR.BO	Templeton India Equity Income Fund Direct Dividend Payout	+0.19	+0.82%	22.72	22.29	22.08	2.95%	3.89%	
0P0000TFRQ.BO	Aditya Birla Sun Life - Foresight 5P Fund - I	-0.00	-0.01%	20.31	20.22	19.91	1.45%	2.46%	
0P00009PUU.BO	DSP World Gold Fund Growth	-0.23	-1.37%	16.59	17.97	16.01	-5.56%	1.75%	
0P0001BA16.BO	DSP World Gold Fund Dividend Reinvestment	-0.15	-1.37%	11.06	11.98	10.99	-5.56%	1.67%	
0P0000XW38.BO	DSP World Gold Fund Direct Plan Dividend Payout	-0.16	-1.36%	11.58	12.53	11.53	-5.41%	1.93%	
0P00009PUI.BO	DSP World Gold Fund Dividend Payout	-0.15	-1.37%	11.06	11.98	10.99	-5.56%	1.67%	
0P0001BA15.BO	DSP World Gold Fund Direct Plan Dividend Reinvestment	-0.16	-1.36%	11.58	12.53	11.53	-5.41%	1.93%	
0P0000XW39.BO	DSP World Gold Fund - Direct Plan - Growth	-0.24	-1.36%	17.50	18.94	16.85	-5.41%	2.05%	
0P00005UYI.BO	UTI Equity Fund Regular Plan Dividend Payout	+1.17	+0.71%	164.16	156.62	154.59	15.24%	7.02%	
0P0000XVSO.BO	UTI Equity Fund - Growth Option - Direct	+1.88	+0.72%	262.51	250.50	246.21	15.45%	7.43%	
0P0001BBGS.BO	UTI Equity Fund Regular Plan Dividend Reinvestment	+1.17	+0.71%	164.16	156.62	154.59	15.24%	7.02%	
0P0001BBGR.BO	UTI Equity Fund Direct Income Reinvestment	+1.25	+0.72%	174.70	166.70	163.94	15.45%	7.43%	
0P0000NNDJ.BO	Aditya Birla Sun Life - Individual Maximiser Fund	+0.58	+1.14%	50.90	49.05	47.57	13.01%	6.89%	
0P0000NRRP.BO	Max Life - High Growth Fund	+0.29	+0.43%	65.92	61.96	58.56	20.33%	14.46%	
0P0001B9OF.BO	Aditya Birla Sun Life Income Fund Regular Plan Quarterly Dividend Reinvestment	-0.02	-0.13%	13.19	13.31	13.18	2.54%	4.07%	
0P0000JXFJ.BO	Aditya Birla Sun Life Income Fund Discipline Advantage Plan	-0.04	-0.13%	27.41	27.29	26.55	2.57%	4.11%	
0P0000XVX0.BO	Aditya Birla Sun Life Income Fund Growth Direct Plan	-0.15	-0.13%	116.15	115.58	112.31	2.68%	4.33%	
0P0000XVX1.BO	Aditya Birla Sun Life Income Fund Quarterly Dividend Payout Direct Plan	-0.02	-0.13%	14.03	14.16	14.00	2.65%	4.27%	
0P0001B9OD.BO	Aditya Birla Sun Life Income Fund Quarterly Dividend Reinvestment Direct Plan	-0.02	-0.13%	14.03	14.16	14.00	2.65%	4.27%	
0P00005V5C.BO	Aditya Birla Sun Life Income Fund Regular Plan Growth	-0.14	-0.13%	108.66	108.17	105.24	2.57%	4.12%	
0P00015FQG.BO	Aditya Birla Sun Life Income Fund Dividend Payout Direct Plan	-0.02	-0.13%	13.27	13.21	12.97	2.68%	4.33%	
0P0001B9OC.BO	Aditya Birla Sun Life Income Fund Dividend Reinvestment Direct Plan	-0.02	-0.13%	13.27	13.21	12.97	2.68%	4.33%	
0P0001B9OE.BO	Aditya Birla Sun Life Income Fund Dividend Reinvestment Regular Plan	-0.02	-0.13%	12.57	12.51	12.29	2.57%	4.12%	
0P00005V5D.BO	Aditya Birla Sun Life Income Fund Regular Plan Quarterly Dividend Payout	-0.02	-0.13%	13.19	13.31	13.18	2.54%	4.07%	
0P00015F9K.BO	Aditya Birla Sun Life Income Fund Dividend Payout Regular Plan	-0.02	-0.13%	12.57	12.51	12.29	2.57%	4.12%	
0P0000XVK5.BO	SBI Magnum Global Fund Direct Growth	+1.44	+0.42%	341.63	326.89	313.05	13.49%	12.66%	
0P0001BB7Y.BO	SBI Magnum Global Fund Regular Dividend Reinvestment	+0.40	+0.42%	96.07	91.98	88.28	13.29%	12.28%	
0P0001BB7X.BO	SBI Magnum Global Fund Direct Dividend Reinvestment	+0.51	+0.42%	121.95	116.69	111.75	13.49%	12.66%	
0P00005UR8.BO	SBI Magnum Global Fund Regular Growth	+1.32	+0.42%	314.46	301.09	288.96	13.29%	12.28%	
0P00005UR7.BO	SBI Magnum Global Fund Regular Dividend Payout	+0.40	+0.42%	96.07	91.98	88.28	13.29%	12.28%	
0P0000XUYI.BO	ICICI Prudential Regular Savings Fund Direct Plan Growth	+0.14	+0.22%	65.82	64.60	63.06	4.96%	4.82%	
0P0001BAET.BO	ICICI Prudential Regular Savings Fund Direct Plan Monthly Dividend Reinvestment	+0.04	+0.22%	16.40	16.26	16.17	2.08%	1.94%	
0P0001BAEU.BO	ICICI Prudential Regular Savings Fund Direct Plan Quarterly Dividend Reinvestment	+0.03	+0.22%	14.05	14.28	14.12	0.95%	0.81%	
0P0000XUYJ.BO	ICICI Prudential Regular Savings Fund Direct Plan Quarterly Dividend Payout	+0.03	+0.22%	14.05	14.28	14.12	0.95%	0.81%	
0P00005UMY.BO	ICICI Prudential Regular Savings Fund Growth	+0.13	+0.21%	60.76	59.69	58.40	4.76%	4.43%	
0P0001BAEX.BO	ICICI Prudential Regular Savings Fund Quarterly Dividend Reinvestment	+0.02	+0.21%	11.45	11.62	11.50	1.10%	0.79%	
0P0000P3MA.BO	ICICI Prudential Regular Savings Fund Half Yearly Dividend Payout	+0.03	+0.21%	13.04	12.81	12.73	4.72%	4.39%	
0P0001BAEW.BO	ICICI Prudential Regular Savings Fund Monthly Dividend Reinvestment	+0.03	+0.21%	13.96	13.84	13.76	2.27%	1.95%	
0P0000XUYH.BO	ICICI Prudential Regular Savings Fund Direct Plan Half Yearly Dividend Payout	+0.04	+0.22%	16.72	16.41	16.32	4.91%	4.77%	
0P0000XUYK.BO	ICICI Prudential Regular Savings Fund Direct Plan Monthly Dividend Payout	+0.04	+0.22%	16.40	16.26	16.17	2.08%	1.94%	
0P0001BAES.BO	ICICI Prudential Regular Savings Fund Direct Plan Half Yearly Dividend Reinvestment	+0.04	+0.22%	16.72	16.41	16.32	4.91%	4.77%	
0P0001BAEV.BO	ICICI Prudential Regular Savings Fund Half Yearly Dividend Reinvestment	+0.03	+0.21%	13.04	12.81	12.73	4.72%	4.39%	
0P00005UMZ.BO	ICICI Prudential Regular Savings Fund Monthly Dividend Payout	+0.03	+0.21%	13.96	13.84	13.76	2.27%	1.95%	
0P0000NPK3.BO	Reliance Life Equity Fund 3	+0.43	+1.13%	38.00	36.99	36.21	11.17%	4.48%	
0P00005UZV.BO	UTI Infrastructure Fund Regular Plan Dividend Payout	+0.27	+0.55%	48.03	46.02	44.16	13.76%	9.68%	
0P0000XVT2.BO	UTI Infrastructure Fund-Growth Option- Direct	+0.53	+0.56%	95.86	91.81	88.02	13.87%	9.88%	
0P0001BBHQ.BO	UTI Infrastructure Fund Regular Plan Dividend Reinvestment	+0.27	+0.55%	48.03	46.02	44.16	13.76%	9.68%	
0P0001BBHP.BO	UTI Infrastructure Fund-Direct Income Reinvestment	+0.28	+0.56%	50.16	48.05	46.06	13.87%	9.88%	
0P0000XVSW.BO	UTI Infrastructure Fund-Direct Income Payout	+0.28	+0.56%	50.16	48.05	46.06	13.87%	9.88%	
0P00005UZX.BO	UTI Infrastructure Fund Regular Plan Growth	+0.51	+0.55%	91.89	88.10	84.51	13.76%	9.68%	
0P0000NQW6.BO	ICICI Prudential Life - Dynamic P/E Fund	+0.28	+0.95%	29.45	28.71	27.97	9.88%	4.91%	
0P0000NPE9.BO	PNB Met Life - Multiplier	+0.89	+1.15%	76.82	74.42	72.56	11.64%	5.27%	
0P0000XWC9.BO	IDFC Large Cap Fund Direct Plan Dividend Payout	+0.25	+1.02%	24.68	23.71	22.81	15.13%	9.09%	
0P0001BAKL.BO	IDFC Large Cap Fund Direct Plan Dividend Reinvestment	+0.25	+1.02%	24.68	23.71	22.81	15.13%	9.09%	
0P0000XV0H.BO	IDFC Large Cap Fund Direct Plan Growth	+0.62	+1.03%	59.99	57.62	55.43	15.13%	9.10%	
0P0001BAKK.BO	IDFC Large Cap Fund Dividend Reinvestment	+0.20	+1.02%	19.28	18.53	17.90	14.78%	8.44%	
0P00008TT2.BO	IDFC Large Cap Fund Growth	+0.55	+1.02%	53.51	51.45	49.68	14.78%	8.45%	
0P0000NPC7.BO	LIC of India - Market Plus Growth	+0.24	+0.82%	29.65	28.91	27.95	9.82%	6.97%	
0P0000XW2G.BO	DSP Equity Opportunities Fund - Direct Plan - Growth	+3.94	+0.92%	427.80	410.37	398.05	14.30%	7.14%	
0P00005V9W.BO	DSP Equity Opportunities Fund Growth	+3.58	+0.92%	390.97	375.34	365.12	14.03%	6.65%	
0P00005V9X.BO	DSP Equity Opportunities Fund Dividend Payout	+0.27	+0.92%	29.47	28.30	28.94	14.04%	6.07%	
0P0000XW2F.BO	DSP Equity Opportunities Fund Direct Plan Dividend Payout	+0.76	+0.92%	82.28	78.93	80.53	14.30%	6.54%	
0P0001BA06.BO	DSP Equity Opportunities Fund Direct Plan Dividend Reinvestment	+0.76	+0.92%	82.28	78.93	80.53	14.30%	6.54%	
0P0001BA07.BO	DSP Equity Opportunities Fund Dividend Reinvestment	+0.27	+0.92%	29.47	28.30	28.94	14.04%	6.07%	
